,AF,EU,AS,SA,NN,MA,AP,AT
Heleophrynidae_Heleophryne_purcelli,1,0,0,0,0,0,0,0
Ptychadena_mascareniensis,1,0,0,0,0,0,0,0
Phrynobatrachus_keniensis,1,0,0,0,0,0,0,0
Phrynomantis_annectens,1,0,0,0,0,0,0,0
Otophryne_robusta,0,0,0,1,0,0,0,0
Stereocyclops_incrassatus,0,0,0,1,0,0,0,0
Scaphiophryne_brevis,0,0,0,0,0,1,0,0
Plethodontohyla_notosticta,0,0,0,0,0,1,0,0
Kalophrynus_interlineatus,0,0,1,0,0,0,0,0
Dyscophus_guineti,0,0,0,0,0,1,0,0
Kaloula_picta,0,0,1,0,0,0,0,0
Microhyla_berdmorei,0,0,1,0,0,0,0,0
Liophryne_rhododactyla,0,0,0,0,0,0,1,0
Callulops_doriae,0,0,0,0,0,0,1,0
Hylophorbus_rainerguntheri,0,0,0,0,0,0,1,0
Genyophryne_thomsoni,0,0,0,0,0,0,1,0
Barygenys_flavigularis,0,0,0,0,0,0,1,0
Copiula_pipilans,0,0,0,0,0,0,1,0
Austrochaperina_guttata,0,0,0,0,0,0,1,0
Austrochaperina_gracilipes,0,0,0,0,0,0,1,0
Austrochaperina_robusta,0,0,0,0,0,0,1,0
Oreophryne_brachypus,0,0,0,0,0,0,1,0
Aphantophryne_pansa,0,0,0,0,0,0,1,0
Cophixalus_parkeri,0,0,0,0,0,0,1,0
Cophixalus_balbus,0,0,0,0,0,0,1,0
Cophixalus_bewaniensis,0,0,0,0,0,0,1,0
Cophixalus_crepitans,0,0,0,0,0,0,1,0
Cophixalus_infacetus,0,0,0,0,0,0,1,0
Cophixalus_hosmeri_3,0,0,0,0,0,0,1,0
Calyptocephalella_gayi,0,0,0,1,0,0,0,0
Rheobatrachus_silus,0,0,0,0,0,0,1,0
Rheobatrachus_vitellinus,0,0,0,0,0,0,1,0
Mixophyes_balbus,0,0,0,0,0,0,1,0
Mixophyes_hihihorlo,0,0,0,0,0,0,1,0
Lechriodus_fletcheri,0,0,0,0,0,0,1,0
Opisthodon_ornatus,0,0,0,0,0,0,1,0
Heleioporus_australiacus,0,0,0,0,0,0,1,0
Neobatrachus_albipes,0,0,0,0,0,0,1,0
Notaden_nichollsi,0,0,0,0,0,0,1,0
Limnodynastes_dumerilii,0,0,0,0,0,0,1,0
Philoria_sphagnicola,0,0,0,0,0,0,1,0
Adelotus_brevis,0,0,0,0,0,0,1,0
Taudactylus_liemi,0,0,0,0,0,0,1,0
Paracrinia_haswelli,0,0,0,0,0,0,1,0
Geocrinia_alba,0,0,0,0,0,0,1,0
Assa_darlingtoni,0,0,0,0,0,0,1,0
Bryobatrachus_nimbus,0,0,0,0,0,0,1,0
Crinia_signifera,0,0,0,0,0,0,1,0
Spicospina_flammocaerulea,0,0,0,0,0,0,1,0
Uperoleia_laevigata,0,0,0,0,0,0,1,0
Pseudophryne_major,0,0,0,0,0,0,1,0
Metacrinia_nichollsi,0,0,0,0,0,0,1,0
Arenophryne_rotunda,0,0,0,0,0,0,1,0
Myobatrachus_gouldii,0,0,0,0,0,0,1,0
Stefania_evansi,0,0,0,1,0,0,0,0
Ceratophrys_cornuta,0,0,0,1,0,0,0,0
Hypsiboas_crepitans,0,0,0,1,0,0,0,0
Osteopilus_dominicensis,0,0,0,1,0,0,0,0
Scinax_staufferi,0,0,0,1,0,0,0,0
Pseudacris_nigrita,0,0,0,0,1,0,0,0
Smilisca_fodiens,0,0,0,1,0,0,0,0
Pseudis_paradoxa,0,0,0,1,0,0,0,0
Dendropsophus_microcephalus,0,0,0,1,0,0,0,0
Cruziohyla_calcarifer,0,0,0,1,0,0,0,0
Phyllomedusa_vallantii,0,0,0,1,0,0,0,0
Litoria_citropa,0,0,0,0,0,0,1,0
Nyctimystes_dayi,0,0,0,0,0,0,1,0
Litoria_genimaculata,0,0,0,0,0,0,1,0
Litoria_wilcoxii,0,0,0,0,0,0,1,0
Litoria_andiirrmalin,0,0,0,0,0,0,1,0
Litoria_xanthomera,0,0,0,0,0,0,1,0
Litoria_gilleni,0,0,0,0,0,0,1,0
Litoria_raniformis,0,0,0,0,0,0,1,0
Litoria_thesaurensis,0,0,0,0,0,0,1,0
Litoria_dahlii,0,0,0,0,0,0,1,0
Cyclorana_cultripes,0,0,0,0,0,0,1,0
Litoria_infrafrenata,0,0,0,0,0,0,1,0
Litoria_brevipalmata,0,0,0,0,0,0,1,0
Nyctimystes_disrupta,0,0,0,0,0,0,1,0
Litoria_revelata,0,0,0,0,0,0,1,0
Litoria_burrowsi,0,0,0,0,0,0,1,0
Litoria_tyleri,0,0,0,0,0,0,1,0
Litoria_dentata,0,0,0,0,0,0,1,0
Litoria_dorsalis,0,0,0,0,0,0,1,0
Litoria_adelaidensis,0,0,0,0,0,0,1,0
Litoria_tornieri,0,0,0,0,0,0,1,0
Litoria_angiana,0,0,0,0,0,0,1,0
Litoria_fallax,0,0,0,0,0,0,1,0
Calyptocephalella_sp,0,0,0,0,0,0,0,1
Baurubatrachus_pricei,0,0,0,1,0,0,0,0
Calyptocephalella_canqueli,0,0,0,1,0,0,0,0