Group,Species,Kind,CrownAge,Origin
Christinus,3,Reptilia,15,Africa
Taphozoinae,9,Mammalia,10,Africa
Eugongylini,145,Reptilia,35,Asia
Nactus,4,Reptilia,30,Asia
Sphenomorphini,297,Reptilia,28,Asia
Agamidae,115,Reptilia,27,Asia
Pythonidae,18,Reptilia,24,Asia
Varanidae,33,Reptilia,24,Asia
Typhlopidae,49,Reptilia,22,Asia
Tiliquini,62,Reptilia,21,Asia
Gehyra,51,Reptilia,20,Asia
Elapidae,144,Reptilia,17,Asia
Cyrtodactylus,7,Reptilia,14,Asia
Cophixalus,18,Amphibia,11,Asia
Austrochaperina,5,Amphibia,11,Asia
Podargus,3,Aves,10,Asia
Heteronotia,5,Reptilia,8,Asia
Pteropodinae,10,Mammalia,7,Asia
Hydromyini,50,Mammalia,6,Asia
Acrochordidae,2,Reptilia,3,Asia
Rattini,12,Mammalia,2,Asia
Ranidae,1,Amphibia,2,Asia
Maluridae,98,Aves,37,Australia
Melaphagidae,144,Aves,31,Australia
Psittaculidae,40,Aves,30,Australia
Cacatuidae,17,Aves,23,Australia
Pardalotidae,4,Aves,10,Australia
Myobatrachoidea,136,Amphibia,80,Gondwana
Limnodynastidae,66,Amphibia,77,Gondwana
Australidelphia,286,Mammalia,68,Gondwana
Pygopodoidea,189,Reptilia,65,Gondwana
Chelidae,25,Reptilia,64,Gondwana
Myobatrachidae,70,Amphibia,46,Gondwana
Pelodryadidae,91,Amphibia,30,South America