CLASS,ORDER,CLADE,GROUP,"FAMILY, SUBFAMILY, TRIBE",,GENUS,SPECIES,SUBSPECIES,COMMON NAME,SECONDARY COMMON NAMES,AUTHOR_YEAR,GENUS SPECIES SUBSPECIES,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,concinnus,,Beautiful Nursery Frog,Tapping Nursery Frog,"Tyler, 1979",Cophixalus concinnus,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,crepitans,,McIlwraith Nursery Frog,Northern Nursery Frog,"Zweifel, 1985",Cophixalus crepitans,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,exiguus,,Northern Tapping Nursery Frog,Dainty Nursery Frog,"Zweifel & Parker, 1969",Cophixalus exiguus,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,hinchinbrookensis,,Hinchinbrook Island Nursery Frog,,"Hoskin, 2012",Cophixalus hinchinbrookensis,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,hosmeri,,Rattling Nursery Frog,,"Zweifel, 1985",Cophixalus hosmeri,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,infacetus,,Creaking Nursery Frog,,"Zweifel, 1985",Cophixalus infacetus,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,kulakula,,Kutini Boulder Frog,,"Hoskin & Aland, 2011",Cophixalus kulakula,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,mcdonaldi,,Mt Elliot Nursery Frog,,"Zweifel, 1985",Cophixalus mcdonaldi,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,monticola,,Mountaintop Nursery Frog,Mountain Nursery Frog,"Richards, Dennis, Trenerry & Werren, 1994",Cophixalus monticola,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,neglectus,,Bellenden Ker Nursery Frog,,"Zweifel, 1962",Cophixalus neglectus,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,ornatus,,Northern Ornate Nursery Frog,Ornate Nursery Frog,"Fry, 1912",Cophixalus ornatus,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,pakayakulangun,,Golden-capped Boulder Frog,,"Hoskin & Aland, 2011",Cophixalus pakayakulangun,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,peninsularis,,Cape York Nursery Frog,,"Zweifel, 1985",Cophixalus peninsularis,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,petrophilus,,Blotched Boulder Frog,,"Hoskin, 2013",Cophixalus petrophilus,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,saxatilis,,Black Mountain Boulder Frog,,"Zweifel & Parker, 1977",Cophixalus saxatilis,,,,,,,,,,,,
Amphibia,Anura,Microhylidae,"Amphibian - Frog, Microhylid","MICROHYLIDAE, ASTEROPHRYINAE",,Cophixalus,zweifeli,,Cape Melville Boulder Frog,,"Davies & McDonald, 1998",Cophixalus zweifeli,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Adelotus,brevis,,Tusked Frog,,"Günther, 1863",Adelotus brevis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,albopunctatus,,Western Spotted Frog,,"Gray, 1841",Heleioporus albopunctatus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,australiacus,australiacus,Giant Burrowing Frog,Eastern Owl Frog,"Shaw & Nodder, 1795",Heleioporus australiacus australiacus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,australiacus,flavopunctatus,Southern Owl Frog,,"Mahony, Penman, Bertozzi, Lemckert, Bilney & Donnellan, 2021",Heleioporus australiacus flavopunctatus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,barycragus,,Hooting Frog,,"Lee, 1967",Heleioporus barycragus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,eyrei,,Moaning Frog,,"Gray, 1845",Heleioporus eyrei,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,inornatus,,Whooping Frog,,"Lee & Main, 1954",Heleioporus inornatus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Heleioporus,psammophilus,,Sand Frog,,"Lee & Main, 1954",Heleioporus psammophilus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,convexiusculus,,Marbled Frog,,"Macleay, 1877",Limnodynastes convexiusculus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,depressus,,Flat-headed Frog,,"Tyler, 1976",Limnodynastes depressus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,dorsalis,,Western Banjo Frog,,"Gray, 1841",Limnodynastes dorsalis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,dumerilii,dumerilii,Eastern Banjo Frog,Grey-bellied Pobblebonk,"Peters, 1863",Limnodynastes dumerilii dumerilii,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,dumerilii,fryi,Snowy Mountains Banjo Frog,,"Martin, 1972",Limnodynastes dumerilii fryi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,dumerilii,grayi,Coastal Banjo Frog,,"Steindachner, 1867",Limnodynastes dumerilii grayi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,dumerilii,insularis,Southern Banjo Frog,,"Parker, 1940",Limnodynastes dumerilii insularis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,dumerilii,variegatus,Variegated Banjo Frog,,"Martin, 1972",Limnodynastes dumerilii variegatus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,fletcheri,,Barking Marsh Frog,Barking Frog,"Boulenger, 1888",Limnodynastes fletcheri,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,interioris,,Giant Banjo Frog,,"Fry, 1913",Limnodynastes interioris,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,lignarius,,Woodworker Frog,Carpenter Frog,"Tyler, Martin & Davies, 1979",Limnodynastes lignarius,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,peronii,,Striped Marsh Frog,,"Duméril & Bibron, 1841",Limnodynastes peronii,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,salmini,,Salmon-striped Frog,,"Steindachner, 1867",Limnodynastes salmini,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,tasmaniensis,,Spotted Marsh Frog,Spotted Grass Frog,"Günther, 1858",Limnodynastes tasmaniensis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Limnodynastes,terraereginae,,Scarlet-sided Pobblebonk,Northern Banjo Frog,"Fry, 1915",Limnodynastes terraereginae,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,albipes,,White-footed Trilling Frog,,"Roberts, Mahony, Kendrick & Majors, 1991",Neobatrachus albipes,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,aquilonius,,Northern Trilling Frog,"Northern Burrowing Frog, Rattling Frog","Tyler, Davies & Martin, 1981",Neobatrachus aquilonius,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,fulvus,,Tawny Trilling Frog,,"Mahony & Roberts, 1986",Neobatrachus fulvus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,kunapalari,,Wheatbelt Frog,Kunupalari Frog,"Mahony & Roberts, 1986",Neobatrachus kunapalari,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,pelobatoides,,Humming Frog,,"Werner, 1914",Neobatrachus pelobatoides,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,pictus,,Painted Trilling Frog,Painted Spadefoot Frog,"Peters, 1863",Neobatrachus pictus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,sudellae,,Desert Trilling Frog,"Common Spadefoot Frog, Meeowing Frog","Lamb, 1911",Neobatrachus sudellae,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,sutor,,Shoemaker Frog,,"Main, 1957",Neobatrachus sutor,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Neobatrachus,wilsmorei,,Plonking Frog,Goldfields Bull Frog,"Parker, 1940",Neobatrachus wilsmorei,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Notaden,bennettii,,Holy Cross Frog,Crucifix Toad,"Günther, 1873",Notaden bennettii,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Notaden,melanoscaphus,,Northern Spadefoot,Brown Shovelfoot,"Hosmer, 1962",Notaden melanoscaphus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Notaden,nichollsi,,Desert Spadefoot,Desert Shovelfoot,"Parker, 1940",Notaden nichollsi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Notaden,weigeli,,Kimberley Spadefoot,,"Shea & Johnston, 1988",Notaden weigeli,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,frosti,,Baw Baw Frog,,"Spencer, 1901",Philoria frosti,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,knowlesi,,Mt Ballow Mountain Frog,,"Mahony, Hines, Mahony & Donnellan, 2022",Philoria knowlesi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,kundagungan,,Red and Yellow Mountain Frog,,"Ingram & Corben, 1975",Philoria kundagungan,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,loveridgei,,Masked Mountain Frog,,"Parker, 1940",Philoria loveridgei,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,pughi,,Pugh's Mountain Frog,,"Knowles, Mahony, Armstrong & Donnellan, 2004",Philoria pughi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,richmondensis,,Richmond Range Mountain Frog,,"Knowles, Mahony, Armstrong & Donnellan, 2004",Philoria richmondensis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Philoria,sphagnicolus,,Sphagnum Frog,,"Moore, 1958",Philoria sphagnicolus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Platyplectrum,fletcheri,,Black-soled Frog,Fletcher's Frog,"Boulenger, 1890",Platyplectrum fletcheri,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Platyplectrum,ornatum,,Ornate Burrowing Frog,,"Gray, 1842",Platyplectrum ornatum,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",LIMNODYNASTIDAE,,Platyplectrum,spenceri,,Centralian Burrowing Frog,"Spencer's Frog, Desert Burrowing Frog","Parker, 1940",Platyplectrum spenceri,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Anstisia,alba,,White-bellied Froglet,,"Wardell-Johnson & Roberts, 1989",Anstisia alba,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Anstisia,lutea,,Walpole Froglet,Nornalup Frog,"Main, 1963",Anstisia lutea,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Anstisia,rosea,,Roseate Froglet,,"Harrison, 1927",Anstisia rosea,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Anstisia,vitellina,,Orange-bellied Froglet,Yellow-bellied Frog,"Wardell-Johnson & Roberts, 1989",Anstisia vitellina,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Arenophryne,rotunda,,Northern Sandhill Frog,,"Tyler, 1976",Arenophryne rotunda,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Arenophryne,xiphorhyncha,,Southern Sandhill Frog,,"Doughty & Edwards, 2008",Arenophryne xiphorhyncha,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Assa,darlingtoni,,Hip-pocket Frog,"Marsupial Frog, Pouched Frog","Loveridge, 1933",Assa darlingtoni,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Assa,wollumbin,,Mt Wollumbin Hip-pocket Frog,,"Mahony, Hines, Mahony, Moses, Catalano, Myers & Donnellan, 2021",Assa wollumbin,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,bilingua,,Bilingual Froglet,,"Martin, Tyler & Davies, 1980",Crinia bilingua,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,deserticola,,Desert Froglet,Chirping Froglet,"Liem & Ingram, 1977",Crinia deserticola,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,fimbriata,,Kimberley Froglet,,"Doughty, Anstis & Price, 2009",Crinia fimbriata,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,flindersensis,,Northern Flinders Ranges Froglet,,"Donnellan, Anstis, Price & Wheaton, 2012",Crinia flindersensis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,georgiana,,Quacking Frog,,"Tschudi, 1838",Crinia georgiana,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,glauerti,,Rattling Froglet,Glauert's Froglet,"Loveridge, 1933",Crinia glauerti,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,insignifera,,Squelching Froglet,,"Moore, 1954",Crinia insignifera,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,nimbus,,Moss Froglet,,"Rounsevell, Ziegeler, Brown, Davies & Littlejohn, 1994",Crinia nimbus,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,parinsignifera,,Beeping Froglet,Eastern Sign-bearing Froglet,"Main, 1957",Crinia parinsignifera,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,pseudinsignifera,,Bleating Froglet,,"Main, 1957",Crinia pseudinsignifera,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,remota,,Northern Froglet,Remote Froglet,"Tyler & Parker, 1974",Crinia remota,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,riparia,,Southern Flinders Ranges Froglet,Streambank Froglet,"Littlejohn & Martin, 1965",Crinia riparia,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,signifera,,Clicking Froglet,Common Eastern Froglet,"Girard, 1853",Crinia signifera,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,sloanei,,Sloane's Froglet,,"Littlejohn, 1958",Crinia sloanei,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,subinsignifera,,South Coast Froglet,,"Littlejohn, 1957",Crinia subinsignifera,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,tasmaniensis,,Tasmanian Froglet,,"Günther, 1864",Crinia tasmaniensis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Crinia,tinnula,,Wallum Froglet,Tinkling Froglet,"Straughan & Main, 1966",Crinia tinnula,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Geocrinia,laevis,,Tasmanian Smooth Froglet,,"Günther, 1864",Geocrinia laevis,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Geocrinia,leai,,Ticking Frog,,"Fletcher, 1898",Geocrinia leai,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Geocrinia,victoriana,,Victorian Smooth Froglet,Eastern Smooth Froglet,"Boulenger, 1888",Geocrinia victoriana,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Metacrinia,nichollsi,,Forest Toadlet,Nicholls' Toadlet,"Harrison, 1927",Metacrinia nichollsi,,,,,,,,,,,,
Amphibia,Anura,Myobatrachoidea,"Amphibian - Frog, Myobatrachid",MYOBATRACHIDAE,,Mixophyes,balbus,,Southern Barred Frog,Stuttering Barred Frog,"Straughan, 1968",Mixophyes balbus,,,,,,,,,,,,
